Time_Index,SE3_nuclear,SE4_oil_peaker,SE1_biomass_chp,SE2_biomass_chp,SE3_biomass_chp,SE4_biomass_chp,SE1_onshore_wind,SE2_onshore_wind,SE3_onshore_wind,SE4_onshore_wind,SE4_offshore_wind,SE3_solar_pv,SE4_solar_pv,SE1_battery,SE2_battery,SE3_battery,SE4_battery,SE1_hydro_reservoir,SE2_hydro_reservoir,SE3_hydro_reservoir,SE4_hydro_reservoir
14,1.0,1.0,1.0,1.0,1.0,1.0,0.48672,0.68447,0.36761,0.56851,0.52286,0.05947,0.11125,1.0,1.0,1.0,1.0,0.37501,0.36214,0.33919,0.30489
15,1.0,1.0,1.0,1.0,1.0,1.0,0.5556,0.59355,0.33697,0.59867,0.43051,0.0321,0.09238,1.0,1.0,1.0,1.0,0.38343,0.3741,0.33659,0.31827
16,1.0,1.0,1.0,1.0,1.0,1.0,0.62091,0.50049,0.26619,0.62583,0.45375,0.0,0.02664,1.0,1.0,1.0,1.0,0.38057,0.36724,0.35499,0.31426
17,1.0,1.0,1.0,1.0,1.0,1.0,0.64498,0.5037,0.23988,0.54736,0.51255,0.0,0.0,1.0,1.0,1.0,1.0,0.36694,0.36759,0.36224,0.3143
18,1.0,1.0,1.0,1.0,1.0,1.0,0.54966,0.52901,0.2055,0.49273,0.61904,0.0,0.0,1.0,1.0,1.0,1.0,0.39092,0.38011,0.34897,0.31406
19,1.0,1.0,1.0,1.0,1.0,1.0,0.62812,0.50442,0.15623,0.46131,0.60733,0.0,0.0,1.0,1.0,1.0,1.0,0.38867,0.37873,0.35179,0.30173
20,1.0,1.0,1.0,1.0,1.0,1.0,0.6701,0.40949,0.22013,0.41094,0.51292,0.0,0.0,1.0,1.0,1.0,1.0,0.36862,0.36197,0.35073,0.3167
21,1.0,1.0,1.0,1.0,1.0,1.0,0.64423,0.3302,0.28428,0.41239,0.55304,0.0,0.0,1.0,1.0,1.0,1.0,0.37618,0.38369,0.33707,0.30652
22,1.0,1.0,1.0,1.0,1.0,1.0,0.59094,0.34948,0.25183,0.33645,0.50444,0.0,0.0,1.0,1.0,1.0,1.0,0.37874,0.37422,0.33978,0.30137
23,1.0,1.0,1.0,1.0,1.0,1.0,0.50364,0.44599,0.33274,0.27012,0.59734,0.0,0.0,1.0,1.0,1.0,1.0,0.39306,0.37457,0.35565,0.30078
24,1.0,1.0,1.0,1.0,1.0,1.0,0.53763,0.45383,0.30353,0.3378,0.63742,0.0,0.0,1.0,1.0,1.0,1.0,0.38984,0.37474,0.35064,0.31534
25,1.0,1.0,1.0,1.0,1.0,1.0,0.57722,0.3992,0.31259,0.41516,0.66064,0.0,0.0,1.0,1.0,1.0,1.0,0.37446,0.35974,0.35843,0.30483
26,1.0,1.0,1.0,1.0,1.0,1.0,0.50081,0.48919,0.29553,0.36847,0.59283,0.0,0.0,1.0,1.0,1.0,1.0,0.37494,0.38072,0.34882,0.31924
27,1.0,1.0,1.0,1.0,1.0,1.0,0.49103,0.51622,0.23307,0.32357,0.5916,0.0,0.0,1.0,1.0,1.0,1.0,0.37701,0.3747,0.3462,0.31926
28,1.0,1.0,1.0,1.0,1.0,1.0,0.53811,0.47614,0.27955,0.28811,0.508,0.0,0.0,1.0,1.0,1.0,1.0,0.36687,0.37882,0.3593,0.31621
29,1.0,1.0,1.0,1.0,1.0,1.0,0.5363,0.45921,0.21992,0.26657,0.4043,0.0,0.0,1.0,1.0,1.0,1.0,0.36746,0.37762,0.34677,0.30225
30,1.0,1.0,1.0,1.0,1.0,1.0,0.52211,0.5058,0.20371,0.23282,0.42884,0.0,0.0,1.0,1.0,1.0,1.0,0.38725,0.38052,0.34894,0.31523
31,1.0,1.0,1.0,1.0,1.0,1.0,0.55504,0.49234,0.28085,0.23753,0.43041,0.0,0.0,1.0,1.0,1.0,1.0,0.36936,0.38068,0.34288,0.29965
32,1.0,1.0,1.0,1.0,1.0,1.0,0.58427,0.42657,0.29027,0.29769,0.51993,0.0,0.0,1.0,1.0,1.0,1.0,0.39318,0.35629,0.35133,0.30781
33,1.0,1.0,1.0,1.0,1.0,1.0,0.56843,0.43928,0.3289,0.39041,0.5199,0.0,0.0,1.0,1.0,1.0,1.0,0.37211,0.38238,0.3483,0.30231
34,1.0,1.0,1.0,1.0,1.0,1.0,0.60015,0.47895,0.36272,0.47753,0.51469,0.0,0.03081,1.0,1.0,1.0,1.0,0.37257,0.37548,0.34796,0.32322
35,1.0,1.0,1.0,1.0,1.0,1.0,0.63405,0.45173,0.29747,0.4015,0.41239,0.04431,0.08904,1.0,1.0,1.0,1.0,0.37394,0.37072,0.35878,0.31557
36,1.0,1.0,1.0,1.0,1.0,1.0,0.55925,0.4536,0.32567,0.35614,0.40367,0.08216,0.1222,1.0,1.0,1.0,1.0,0.39593,0.37132,0.34765,0.30072
37,1.0,1.0,1.0,1.0,1.0,1.0,0.6146,0.47529,0.31219,0.39421,0.48214,0.05694,0.15049,1.0,1.0,1.0,1.0,0.37865,0.38053,0.34803,0.31535
38,1.0,1.0,1.0,1.0,1.0,1.0,0.63029,0.42035,0.26087,0.32518,0.49744,0.05603,0.12522,1.0,1.0,1.0,1.0,0.37742,0.37207,0.33904,0.30647
39,1.0,1.0,1.0,1.0,1.0,1.0,0.6264,0.51421,0.2503,0.26445,0.44567,0.03005,0.07522,1.0,1.0,1.0,1.0,0.3878,0.37948,0.3581,0.3163
40,1.0,1.0,1.0,1.0,1.0,1.0,0.61252,0.42176,0.34037,0.24273,0.50781,0.0,0.02077,1.0,1.0,1.0,1.0,0.38854,0.38186,0.35338,0.31677
41,1.0,1.0,1.0,1.0,1.0,1.0,0.61037,0.37161,0.4069,0.2353,0.52371,0.0,0.0,1.0,1.0,1.0,1.0,0.377,0.37235,0.34274,0.30323
42,1.0,1.0,1.0,1.0,1.0,1.0,0.58462,0.45653,0.41213,0.21366,0.5316,0.0,0.0,1.0,1.0,1.0,1.0,0.37813,0.36812,0.33563,0.31163
43,1.0,1.0,1.0,1.0,1.0,1.0,0.65,0.46228,0.349,0.14892,0.56569,0.0,0.0,1.0,1.0,1.0,1.0,0.38908,0.37251,0.35863,0.31859
44,1.0,1.0,1.0,1.0,1.0,1.0,0.61633,0.53841,0.30555,0.09116,0.55471,0.0,0.0,1.0,1.0,1.0,1.0,0.36846,0.35651,0.34318,0.32099
45,1.0,1.0,1.0,1.0,1.0,1.0,0.60849,0.55635,0.28597,0.11727,0.45295,0.0,0.0,1.0,1.0,1.0,1.0,0.37664,0.35793,0.34379,0.31731
46,1.0,1.0,1.0,1.0,1.0,1.0,0.59165,0.53106,0.30399,0.20774,0.48461,0.0,0.0,1.0,1.0,1.0,1.0,0.36598,0.37256,0.34819,0.30005
47,1.0,1.0,1.0,1.0,1.0,1.0,0.64713,0.51059,0.3189,0.26368,0.4619,0.0,0.0,1.0,1.0,1.0,1.0,0.38534,0.36208,0.35211,0.32193
48,1.0,1.0,1.0,1.0,1.0,1.0,0.62616,0.53496,0.32495,0.25562,0.3829,0.0,0.0,1.0,1.0,1.0,1.0,0.37569,0.37511,0.35437,0.30142
49,1.0,1.0,1.0,1.0,1.0,1.0,0.69067,0.56177,0.28404,0.32728,0.29736,0.0,0.0,1.0,1.0,1.0,1.0,0.36818,0.38173,0.33601,0.30244
50,1.0,1.0,1.0,1.0,1.0,1.0,0.75965,0.47245,0.25963,0.32484,0.29674,0.0,0.0,1.0,1.0,1.0,1.0,0.38435,0.35895,0.34418,0.31717
51,1.0,1.0,1.0,1.0,1.0,1.0,0.72882,0.52668,0.32507,0.34263,0.37839,0.0,0.0,1.0,1.0,1.0,1.0,0.39243,0.36663,0.36065,0.31311
52,1.0,1.0,1.0,1.0,1.0,1.0,0.77135,0.45038,0.29606,0.33757,0.32633,0.0,0.0,1.0,1.0,1.0,1.0,0.38708,0.36931,0.33724,0.32271
53,1.0,1.0,1.0,1.0,1.0,1.0,0.81278,0.427,0.28428,0.32524,0.27384,0.0,0.0,1.0,1.0,1.0,1.0,0.37442,0.36895,0.34832,0.30955
54,1.0,1.0,1.0,1.0,1.0,1.0,0.77851,0.35994,0.29189,0.41308,0.36667,0.0,0.0,1.0,1.0,1.0,1.0,0.38199,0.36267,0.34373,0.30858
55,1.0,1.0,1.0,1.0,1.0,1.0,0.82981,0.32477,0.25198,0.3741,0.31758,0.0,0.0,1.0,1.0,1.0,1.0,0.3775,0.36531,0.35343,0.30375
56,1.0,1.0,1.0,1.0,1.0,1.0,0.71153,0.36148,0.26012,0.42532,0.35876,0.0,0.0,1.0,1.0,1.0,1.0,0.37648,0.38458,0.3506,0.31447
57,1.0,1.0,1.0,1.0,1.0,1.0,0.76985,0.3603,0.24147,0.45271,0.34199,0.0,0.0,1.0,1.0,1.0,1.0,0.36702,0.36017,0.34254,0.31043
58,1.0,1.0,1.0,1.0,1.0,1.0,0.80366,0.39777,0.19102,0.43527,0.39211,0.0,0.02304,1.0,1.0,1.0,1.0,0.3707,0.37649,0.33935,0.30419
59,1.0,1.0,1.0,1.0,1.0,1.0,0.77289,0.49419,0.27904,0.36888,0.35931,0.04258,0.09926,1.0,1.0,1.0,1.0,0.39554,0.38327,0.34691,0.30355
60,1.0,1.0,1.0,1.0,1.0,1.0,0.76508,0.51472,0.31561,0.29071,0.40862,0.07188,0.12054,1.0,1.0,1.0,1.0,0.38338,0.36746,0.34917,0.31418
61,1.0,1.0,1.0,1.0,1.0,1.0,0.74174,0.54254,0.39712,0.37486,0.47635,0.06585,0.12307,1.0,1.0,1.0,1.0,0.39264,0.36507,0.34557,0.31506
62,1.0,1.0,1.0,1.0,1.0,1.0,0.70406,0.5416,0.45429,0.32065,0.54042,0.05994,0.12773,1.0,1.0,1.0,1.0,0.383,0.37024,0.34785,0.30207
63,1.0,1.0,1.0,1.0,1.0,1.0,0.72211,0.47607,0.38994,0.37348,0.50918,0.05539,0.05677,1.0,1.0,1.0,1.0,0.38636,0.36401,0.35323,0.30547
64,1.0,1.0,1.0,1.0,1.0,1.0,0.70135,0.40568,0.40089,0.42077,0.4915,0.0,0.02381,1.0,1.0,1.0,1.0,0.37981,0.36711,0.34129,0.31178
65,1.0,1.0,1.0,1.0,1.0,1.0,0.59329,0.34536,0.3655,0.38072,0.54697,0.0,0.0,1.0,1.0,1.0,1.0,0.39474,0.35763,0.36134,0.31164
66,1.0,1.0,1.0,1.0,1.0,1.0,0.50579,0.43873,0.41246,0.34757,0.63779,0.0,0.0,1.0,1.0,1.0,1.0,0.36824,0.3697,0.3448,0.32067
67,1.0,1.0,1.0,1.0,1.0,1.0,0.49473,0.4795,0.3503,0.35326,0.5625,0.0,0.0,1.0,1.0,1.0,1.0,0.39062,0.36778,0.3408,0.30564
68,1.0,1.0,1.0,1.0,1.0,1.0,0.40113,0.51525,0.38566,0.33368,0.55629,0.0,0.0,1.0,1.0,1.0,1.0,0.37902,0.36368,0.3474,0.31539
69,1.0,1.0,1.0,1.0,1.0,1.0,0.34388,0.46927,0.40491,0.36435,0.53862,0.0,0.0,1.0,1.0,1.0,1.0,0.37999,0.37782,0.352,0.3048
70,1.0,1.0,1.0,1.0,1.0,1.0,0.42016,0.3803,0.32602,0.3505,0.52391,0.0,0.0,1.0,1.0,1.0,1.0,0.36603,0.37793,0.35857,0.31749
71,1.0,1.0,1.0,1.0,1.0,1.0,0.41627,0.31609,0.35986,0.3369,0.48822,0.0,0.0,1.0,1.0,1.0,1.0,0.38264,0.36551,0.34255,0.3157
72,1.0,1.0,1.0,1.0,1.0,1.0,0.34907,0.32125,0.31884,0.32536,0.47352,0.0,0.0,1.0,1.0,1.0,1.0,0.38637,0.38255,0.3428,0.30328
73,1.0,1.0,1.0,1.0,1.0,1.0,0.46032,0.3267,0.30328,0.25801,0.52573,0.0,0.0,1.0,1.0,1.0,1.0,0.38451,0.35638,0.33547,0.32085
74,1.0,1.0,1.0,1.0,1.0,1.0,0.39924,0.37261,0.24014,0.2355,0.43222,0.0,0.0,1.0,1.0,1.0,1.0,0.369,0.36973,0.33759,0.30539
75,1.0,1.0,1.0,1.0,1.0,1.0,0.39642,0.38863,0.32074,0.32579,0.51827,0.0,0.0,1.0,1.0,1.0,1.0,0.39256,0.37909,0.35856,0.3007
76,1.0,1.0,1.0,1.0,1.0,1.0,0.45278,0.41558,0.24928,0.26716,0.41585,0.0,0.0,1.0,1.0,1.0,1.0,0.38676,0.37851,0.36096,0.30533
77,1.0,1.0,1.0,1.0,1.0,1.0,0.51422,0.44626,0.30433,0.32189,0.50043,0.0,0.0,1.0,1.0,1.0,1.0,0.37198,0.37512,0.35475,0.3085
78,1.0,1.0,1.0,1.0,1.0,1.0,0.51977,0.4212,0.30722,0.30148,0.50883,0.0,0.0,1.0,1.0,1.0,1.0,0.38594,0.36013,0.33606,0.31165
79,1.0,1.0,1.0,1.0,1.0,1.0,0.51284,0.51555,0.28798,0.27276,0.48482,0.0,0.0,1.0,1.0,1.0,1.0,0.36802,0.36242,0.33987,0.32397
80,1.0,1.0,1.0,1.0,1.0,1.0,0.51877,0.51436,0.29171,0.27005,0.54812,0.0,0.0,1.0,1.0,1.0,1.0,0.37379,0.35883,0.34509,0.31267
81,1.0,1.0,1.0,1.0,1.0,1.0,0.47814,0.57164,0.34189,0.28119,0.5747,0.0,0.0,1.0,1.0,1.0,1.0,0.3798,0.37592,0.36226,0.30709
82,1.0,1.0,1.0,1.0,1.0,1.0,0.45087,0.48317,0.30175,0.31865,0.50882,0.0,0.02678,1.0,1.0,1.0,1.0,0.38367,0.37334,0.34513,0.31569
83,1.0,1.0,1.0,1.0,1.0,1.0,0.48574,0.56031,0.23517,0.31551,0.56526,0.03856,0.09767,1.0,1.0,1.0,1.0,0.38578,0.37391,0.33537,0.3194
84,1.0,1.0,1.0,1.0,1.0,1.0,0.54067,0.54365,0.32499,0.27403,0.46769,0.05493,0.11161,1.0,1.0,1.0,1.0,0.39106,0.3602,0.34168,0.32061
85,1.0,1.0,1.0,1.0,1.0,1.0,0.44988,0.62557,0.3499,0.3079,0.38764,0.0785,0.10785,1.0,1.0,1.0,1.0,0.37303,0.35709,0.36162,0.32296
86,1.0,1.0,1.0,1.0,1.0,1.0,0.48167,0.67267,0.42553,0.28652,0.49119,0.05609,0.11202,1.0,1.0,1.0,1.0,0.37733,0.35635,0.35364,0.31012
87,1.0,1.0,1.0,1.0,1.0,1.0,0.49934,0.67501,0.38059,0.36151,0.40403,0.05101,0.06544,1.0,1.0,1.0,1.0,0.38453,0.37298,0.35328,0.30749
88,1.0,1.0,1.0,1.0,1.0,1.0,0.58697,0.63828,0.39687,0.36023,0.3134,0.0,0.02425,1.0,1.0,1.0,1.0,0.37224,0.38495,0.3542,0.32072
89,1.0,1.0,1.0,1.0,1.0,1.0,0.60033,0.67889,0.417,0.35429,0.39111,0.0,0.0,1.0,1.0,1.0,1.0,0.38183,0.3645,0.35392,0.31435
90,1.0,1.0,1.0,1.0,1.0,1.0,0.68587,0.58062,0.43015,0.43465,0.44037,0.0,0.0,1.0,1.0,1.0,1.0,0.36829,0.36007,0.34982,0.32275
91,1.0,1.0,1.0,1.0,1.0,1.0,0.76829,0.64216,0.48393,0.47158,0.41873,0.0,0.0,1.0,1.0,1.0,1.0,0.37681,0.3812,0.36003,0.31191
92,1.0,1.0,1.0,1.0,1.0,1.0,0.84169,0.63618,0.44429,0.42774,0.34826,0.0,0.0,1.0,1.0,1.0,1.0,0.39435,0.3849,0.34914,0.30927
93,1.0,1.0,1.0,1.0,1.0,1.0,0.86443,0.54784,0.45432,0.39831,0.44348,0.0,0.0,1.0,1.0,1.0,1.0,0.37234,0.38105,0.34649,0.31466
94,1.0,1.0,1.0,1.0,1.0,1.0,0.8026,0.62505,0.44488,0.38975,0.45996,0.0,0.0,1.0,1.0,1.0,1.0,0.3754,0.37935,0.34222,0.3004
95,1.0,1.0,1.0,1.0,1.0,1.0,0.87552,0.56456,0.46517,0.42001,0.38837,0.0,0.0,1.0,1.0,1.0,1.0,0.37914,0.3647,0.36168,0.32236
96,1.0,1.0,1.0,1.0,1.0,1.0,0.9091,0.58545,0.45404,0.48092,0.29249,0.0,0.0,1.0,1.0,1.0,1.0,0.38781,0.38351,0.36262,0.30909
97,1.0,1.0,1.0,1.0,1.0,1.0,0.91761,0.57156,0.40479,0.52209,0.37597,0.0,0.0,1.0,1.0,1.0,1.0,0.37654,0.36906,0.3509,0.31857
98,1.0,1.0,1.0,1.0,1.0,1.0,0.83743,0.63399,0.47226,0.57671,0.31867,0.0,0.0,1.0,1.0,1.0,1.0,0.39528,0.35871,0.35711,0.31582
99,1.0,1.0,1.0,1.0,1.0,1.0,0.71681,0.68382,0.3969,0.63236,0.39649,0.0,0.0,1.0,1.0,1.0,1.0,0.39284,0.38432,0.35244,0.31267
100,1.0,1.0,1.0,1.0,1.0,1.0,0.76868,0.66983,0.40823,0.57966,0.38653,0.0,0.0,1.0,1.0,1.0,1.0,0.39438,0.36848,0.35372,0.30202
101,1.0,1.0,1.0,1.0,1.0,1.0,0.81807,0.69229,0.42662,0.57344,0.43639,0.0,0.0,1.0,1.0,1.0,1.0,0.36597,0.38047,0.34664,0.3014
102,1.0,1.0,1.0,1.0,1.0,1.0,0.86013,0.66001,0.3639,0.60863,0.34642,0.0,0.0,1.0,1.0,1.0,1.0,0.38512,0.37537,0.34678,0.30648
103,1.0,1.0,1.0,1.0,1.0,1.0,0.87208,0.70113,0.4245,0.57186,0.44537,0.0,0.0,1.0,1.0,1.0,1.0,0.39575,0.36181,0.33827,0.30853
104,1.0,1.0,1.0,1.0,1.0,1.0,0.77782,0.75951,0.36505,0.52386,0.50419,0.0,0.0,1.0,1.0,1.0,1.0,0.38589,0.37401,0.3518,0.31219
105,1.0,1.0,1.0,1.0,1.0,1.0,0.69041,0.75133,0.35237,0.48849,0.45174,0.0,0.0,1.0,1.0,1.0,1.0,0.37997,0.36101,0.33921,0.31491
106,1.0,1.0,1.0,1.0,1.0,1.0,0.60574,0.81283,0.29154,0.54497,0.41639,0.00033,0.03739,1.0,1.0,1.0,1.0,0.39219,0.38448,0.33537,0.30607
107,1.0,1.0,1.0,1.0,1.0,1.0,0.60075,0.75146,0.24184,0.61509,0.38302,0.03694,0.08706,1.0,1.0,1.0,1.0,0.39218,0.38046,0.34964,0.31764
108,1.0,1.0,1.0,1.0,1.0,1.0,0.50572,0.73334,0.22659,0.53662,0.34928,0.07807,0.13244,1.0,1.0,1.0,1.0,0.37957,0.35923,0.35887,0.30159
109,1.0,1.0,1.0,1.0,1.0,1.0,0.58914,0.79333,0.25906,0.51369,0.34435,0.08122,0.14211,1.0,1.0,1.0,1.0,0.37058,0.36982,0.35344,0.30347
110,1.0,1.0,1.0,1.0,1.0,1.0,0.6019,0.77597,0.22967,0.581,0.33679,0.06245,0.11001,1.0,1.0,1.0,1.0,0.38512,0.38421,0.35287,0.31076
111,1.0,1.0,1.0,1.0,1.0,1.0,0.59913,0.81988,0.2783,0.62699,0.3589,0.03331,0.06653,1.0,1.0,1.0,1.0,0.39043,0.36146,0.35482,0.31267
112,1.0,1.0,1.0,1.0,1.0,1.0,0.54309,0.77536,0.28187,0.6823,0.26664,0.00025,0.02996,1.0,1.0,1.0,1.0,0.37538,0.37201,0.34994,0.32122
113,1.0,1.0,1.0,1.0,1.0,1.0,0.48067,0.6704,0.33487,0.73542,0.18092,0.0,0.0,1.0,1.0,1.0,1.0,0.37115,0.36495,0.34451,0.31126
114,1.0,1.0,1.0,1.0,1.0,1.0,0.38778,0.60923,0.41735,0.70631,0.10869,0.0,0.0,1.0,1.0,1.0,1.0,0.3727,0.36486,0.34235,0.30632
115,1.0,1.0,1.0,1.0,1.0,1.0,0.39673,0.60922,0.477,0.73923,0.13223,0.0,0.0,1.0,1.0,1.0,1.0,0.37493,0.36376,0.33628,0.31972
116,1.0,1.0,1.0,1.0,1.0,1.0,0.49145,0.6307,0.42785,0.73569,0.08697,0.0,0.0,1.0,1.0,1.0,1.0,0.37509,0.37803,0.3417,0.30241
117,1.0,1.0,1.0,1.0,1.0,1.0,0.57837,0.65525,0.40227,0.70186,0.12142,0.0,0.0,1.0,1.0,1.0,1.0,0.37238,0.37789,0.33787,0.3003
118,1.0,1.0,1.0,1.0,1.0,1.0,0.48545,0.57272,0.33573,0.62911,0.2221,0.0,0.0,1.0,1.0,1.0,1.0,0.37727,0.3818,0.36236,0.31911
119,1.0,1.0,1.0,1.0,1.0,1.0,0.50356,0.62646,0.38384,0.55911,0.31799,0.0,0.0,1.0,1.0,1.0,1.0,0.38953,0.36037,0.34394,0.307
120,1.0,1.0,1.0,1.0,1.0,1.0,0.54972,0.68382,0.4091,0.57484,0.34639,0.0,0.0,1.0,1.0,1.0,1.0,0.36863,0.3802,0.3499,0.30905
121,1.0,1.0,1.0,1.0,1.0,1.0,0.6211,0.57314,0.39257,0.48058,0.32536,0.0,0.0,1.0,1.0,1.0,1.0,0.3687,0.37438,0.34015,0.3095
122,1.0,1.0,1.0,1.0,1.0,1.0,0.59431,0.5821,0.42063,0.40066,0.26844,0.0,0.0,1.0,1.0,1.0,1.0,0.39419,0.36275,0.36017,0.31636
123,1.0,1.0,1.0,1.0,1.0,1.0,0.6598,0.65119,0.36752,0.415,0.23662,0.0,0.0,1.0,1.0,1.0,1.0,0.3686,0.37277,0.3545,0.3057
124,1.0,1.0,1.0,1.0,1.0,1.0,0.65893,0.67246,0.35492,0.46747,0.19057,0.0,0.0,1.0,1.0,1.0,1.0,0.38278,0.37874,0.35707,0.31508
125,1.0,1.0,1.0,1.0,1.0,1.0,0.63365,0.64054,0.42803,0.52958,0.3103,0.0,0.0,1.0,1.0,1.0,1.0,0.37967,0.35855,0.33842,0.30127
126,1.0,1.0,1.0,1.0,1.0,1.0,0.5932,0.6098,0.44768,0.60318,0.35011,0.0,0.0,1.0,1.0,1.0,1.0,0.38085,0.35854,0.36159,0.31585
127,1.0,1.0,1.0,1.0,1.0,1.0,0.54862,0.64884,0.51436,0.65568,0.35493,0.0,0.0,1.0,1.0,1.0,1.0,0.37769,0.37822,0.36306,0.3188
128,1.0,1.0,1.0,1.0,1.0,1.0,0.55438,0.57151,0.45695,0.60054,0.2649,0.0,0.0,1.0,1.0,1.0,1.0,0.36646,0.37121,0.35714,0.32078
129,1.0,1.0,1.0,1.0,1.0,1.0,0.62486,0.6113,0.49753,0.54115,0.2481,0.0,0.0,1.0,1.0,1.0,1.0,0.38179,0.37717,0.33533,0.3169
130,1.0,1.0,1.0,1.0,1.0,1.0,0.53349,0.5075,0.44081,0.55117,0.30629,0.00119,0.0238,1.0,1.0,1.0,1.0,0.38691,0.35689,0.35155,0.32071
131,1.0,1.0,1.0,1.0,1.0,1.0,0.43878,0.50161,0.43602,0.50414,0.23964,0.05906,0.06917,1.0,1.0,1.0,1.0,0.3742,0.382,0.3451,0.31683
132,1.0,1.0,1.0,1.0,1.0,1.0,0.49083,0.43191,0.43399,0.49199,0.36746,0.07374,0.0818,1.0,1.0,1.0,1.0,0.37021,0.36726,0.33761,0.31211
133,1.0,1.0,1.0,1.0,1.0,1.0,0.50555,0.50205,0.50853,0.45768,0.30984,0.09505,0.15649,1.0,1.0,1.0,1.0,0.36803,0.37133,0.34505,0.31849
134,1.0,1.0,1.0,1.0,1.0,1.0,0.59876,0.46096,0.57941,0.37963,0.32941,0.09007,0.08872,1.0,1.0,1.0,1.0,0.37147,0.38224,0.34654,0.29985
135,1.0,1.0,1.0,1.0,1.0,1.0,0.51424,0.37415,0.58796,0.32397,0.32989,0.05519,0.08639,1.0,1.0,1.0,1.0,0.37659,0.35637,0.35584,0.32075
136,1.0,1.0,1.0,1.0,1.0,1.0,0.4464,0.35918,0.64306,0.28254,0.3998,0.00099,0.02976,1.0,1.0,1.0,1.0,0.38349,0.38368,0.33517,0.31142
137,1.0,1.0,1.0,1.0,1.0,1.0,0.4198,0.39709,0.63698,0.22937,0.36364,0.0,0.0,1.0,1.0,1.0,1.0,0.39177,0.36574,0.36022,0.30943
138,1.0,1.0,1.0,1.0,1.0,1.0,0.50837,0.44835,0.57733,0.2775,0.33956,0.0,0.0,1.0,1.0,1.0,1.0,0.38536,0.37039,0.35025,0.30379
139,1.0,1.0,1.0,1.0,1.0,1.0,0.43603,0.48439,0.5424,0.29906,0.32878,0.0,0.0,1.0,1.0,1.0,1.0,0.39606,0.36123,0.34174,0.30382
140,1.0,1.0,1.0,1.0,1.0,1.0,0.45491,0.42037,0.57475,0.24934,0.371,0.0,0.0,1.0,1.0,1.0,1.0,0.37,0.37909,0.33891,0.3168
141,1.0,1.0,1.0,1.0,1.0,1.0,0.50954,0.50928,0.58007,0.22989,0.47119,0.0,0.0,1.0,1.0,1.0,1.0,0.38587,0.37764,0.35697,0.31312
142,1.0,1.0,1.0,1.0,1.0,1.0,0.42571,0.41368,0.60367,0.32203,0.37425,0.0,0.0,1.0,1.0,1.0,1.0,0.39066,0.35913,0.34128,0.30258
