Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4
,,,,,,,,51,2401.0,2958.1,10149.7,3564.5
,,,,,,,,52,2363.9,2924.7,9787.0,3500.1
,,,,,,,,53,2427.9,3076.3,10246.7,3618.3
,,,,,,,,54,2665.3,3354.8,11466.4,3990.8
,,,,,,,,55,2947.0,3757.5,12614.8,4496.7
,,,,,,,,56,3217.9,3969.0,13634.2,4750.6
,,,,,,,,57,3322.7,4133.5,14042.4,4976.6
,,,,,,,,58,3298.4,4036.2,13918.3,4825.6
,,,,,,,,59,3136.3,3870.3,13408.0,4674.4
,,,,,,,,60,2964.0,3697.1,12588.7,4528.6
,,,,,,,,61,2945.3,3657.8,12199.2,4411.2
,,,,,,,,62,2912.3,3571.2,12470.7,4349.4
,,,,,,,,63,2952.2,3722.5,12349.3,4371.8
,,,,,,,,64,3043.1,3892.0,13228.9,4570.1
,,,,,,,,65,3269.2,4033.2,13898.6,4841.7
,,,,,,,,66,3349.2,4188.3,14455.9,5027.7
,,,,,,,,67,3451.1,4284.1,14491.5,5228.5
,,,,,,,,68,3412.3,4214.0,14510.4,5032.1
,,,,,,,,69,3260.6,3989.1,13569.2,4813.2
,,,,,,,,70,3112.2,3804.8,13064.3,4577.6
,,,,,,,,71,2964.9,3716.6,12369.4,4455.7
,,,,,,,,72,2902.7,3606.9,12071.9,4361.7
,,,,,,,,73,2690.1,3355.4,11157.7,3981.6
,,,,,,,,74,2545.5,3113.1,10632.6,3793.7
,,,,,,,,75,2357.7,2999.4,10129.9,3550.1
,,,,,,,,76,2320.8,2959.0,9815.0,3548.7
,,,,,,,,77,2416.8,3034.2,10506.7,3712.6
,,,,,,,,78,2715.3,3370.8,11361.8,4042.6
,,,,,,,,79,2924.2,3651.8,12606.2,4406.1
,,,,,,,,80,3156.3,4026.4,13652.3,4863.9
,,,,,,,,81,3340.1,4187.7,14059.2,4898.7
,,,,,,,,82,3304.2,4060.1,13791.1,4842.3
,,,,,,,,83,3083.2,3953.9,13429.9,4763.7
,,,,,,,,84,2960.0,3779.1,12629.8,4551.6
,,,,,,,,85,2932.0,3612.7,12509.2,4386.4
,,,,,,,,86,2876.8,3668.9,12353.3,4351.9
,,,,,,,,87,2928.9,3744.5,12680.8,4473.6
,,,,,,,,88,3102.1,3854.3,13098.7,4651.0
,,,,,,,,89,3221.2,4007.9,13654.3,4826.0
,,,,,,,,90,3338.0,4238.1,14250.0,5044.5
,,,,,,,,91,3410.7,4285.1,14558.7,5119.0
,,,,,,,,92,3381.1,4221.9,14311.6,5072.2
,,,,,,,,93,3285.4,4032.8,13957.4,4879.3
,,,,,,,,94,3090.3,3870.1,13152.8,4613.9
,,,,,,,,95,2954.6,3643.0,12401.9,4416.7
,,,,,,,,96,2834.8,3626.6,12265.2,4368.8
,,,,,,,,97,2658.5,3367.6,11176.9,3961.8
,,,,,,,,98,2540.9,3148.8,10720.6,3811.6
,,,,,,,,99,2412.3,2967.6,10096.3,3615.0
,,,,,,,,100,2323.5,2940.3,9812.3,3478.2
,,,,,,,,101,2455.9,3031.3,10432.3,3669.6
,,,,,,,,102,2714.7,3354.0,11320.5,3986.4
,,,,,,,,103,2934.6,3736.2,12429.2,4396.3
,,,,,,,,104,3158.9,3960.2,13597.6,4870.4
,,,,,,,,105,3263.2,4130.6,13948.6,4939.3
,,,,,,,,106,3238.7,4120.3,13843.4,4847.5
,,,,,,,,107,3103.3,3954.6,13466.4,4656.2
,,,,,,,,108,2954.1,3689.6,12758.6,4501.5
,,,,,,,,109,2876.6,3686.4,12367.2,4391.2
,,,,,,,,110,2913.3,3614.2,12286.0,4379.6
,,,,,,,,111,2920.6,3655.0,12510.1,4462.5
,,,,,,,,112,3053.9,3905.7,13193.6,4609.6
,,,,,,,,113,3253.3,4086.8,13612.7,4893.5
,,,,,,,,114,3389.4,4172.9,14441.7,5033.7
,,,,,,,,115,3403.8,4304.8,14660.2,5128.9
,,,,,,,,116,3344.9,4182.8,14504.7,5049.9
,,,,,,,,117,3290.1,4004.1,13758.9,4791.3
,,,,,,,,118,3087.8,3801.1,13227.9,4659.9
,,,,,,,,119,2915.1,3641.6,12563.3,4371.4
,,,,,,,,120,2845.8,3624.6,12254.5,4297.9
,,,,,,,,121,2480.6,3157.9,10705.9,3755.6
,,,,,,,,122,2341.3,2945.7,9931.1,3599.7
,,,,,,,,123,2257.3,2785.9,9646.9,3335.8
,,,,,,,,124,2171.5,2742.9,9270.4,3282.4
,,,,,,,,125,2313.3,2846.3,9780.7,3491.3
,,,,,,,,126,2511.3,3176.5,10608.2,3822.8
,,,,,,,,127,2822.7,3540.6,11969.8,4186.7
,,,,,,,,128,3055.9,3782.4,12950.3,4497.8
,,,,,,,,129,3071.4,3849.4,13315.7,4683.4
,,,,,,,,130,3108.4,3866.3,12901.9,4571.8
,,,,,,,,131,2923.7,3686.6,12699.4,4465.8
,,,,,,,,132,2815.2,3483.8,11999.5,4234.0
,,,,,,,,133,2706.1,3454.7,11626.3,4098.6
,,,,,,,,134,2689.9,3361.5,11557.4,4052.5
,,,,,,,,135,2796.9,3483.5,11644.5,4177.6
,,,,,,,,136,2921.2,3575.4,12270.2,4314.9
,,,,,,,,137,3079.6,3867.8,12891.6,4640.9
,,,,,,,,138,3228.9,3954.1,13392.2,4789.8
,,,,,,,,139,3250.6,4064.2,13775.7,4848.7
,,,,,,,,140,3211.2,3981.7,13350.4,4812.3
,,,,,,,,141,3042.4,3837.2,12991.5,4624.9
,,,,,,,,142,2887.3,3588.1,12307.0,4293.7
,,,,,,,,143,2779.3,3452.5,11811.3,4188.0
,,,,,,,,144,2732.9,3338.3,11554.9,4020.8
,,,,,,,,145,2475.5,3098.2,10597.3,3795.4
,,,,,,,,146,2352.8,2999.7,9954.9,3600.9
,,,,,,,,147,2230.2,2831.3,9417.8,3382.6
,,,,,,,,148,2181.6,2732.1,9388.0,3310.6
,,,,,,,,149,2311.5,2899.6,9667.3,3460.0
,,,,,,,,150,2516.1,3195.5,10798.4,3759.8
,,,,,,,,151,2766.4,3486.2,11719.6,4147.5
,,,,,,,,152,3043.9,3774.1,12873.4,4537.5
,,,,,,,,153,3077.7,3941.9,13239.2,4621.2
,,,,,,,,154,3034.5,3867.1,13065.4,4628.0
,,,,,,,,155,2913.0,3648.7,12635.1,4372.3
,,,,,,,,156,2832.5,3557.4,12034.3,4271.1
,,,,,,,,157,2719.8,3420.2,11674.9,4123.0
,,,,,,,,158,2747.3,3389.4,11531.1,4099.8
,,,,,,,,159,2785.9,3462.7,11995.6,4174.1
,,,,,,,,160,2890.4,3642.6,12341.8,4333.9
,,,,,,,,161,3065.9,3839.9,12924.9,4581.2
,,,,,,,,162,3167.8,4038.2,13448.3,4737.4
,,,,,,,,163,3274.3,4031.4,13872.1,4940.4
,,,,,,,,164,3143.6,3990.1,13741.6,4731.1
,,,,,,,,165,3062.8,3819.3,13126.3,4539.5
,,,,,,,,166,2874.2,3590.6,12247.8,4315.1
,,,,,,,,167,2772.0,3505.4,11665.1,4216.9
,,,,,,,,168,2709.6,3343.6,11587.9,4063.1
,,,,,,,,169,2698.6,3322.4,11428.3,3981.5
,,,,,,,,170,2523.6,3114.8,10884.8,3832.3
,,,,,,,,171,2394.8,3026.3,10034.3,3575.2
,,,,,,,,172,2329.2,2908.3,9820.8,3468.6
,,,,,,,,173,2456.5,3106.8,10485.3,3625.2
,,,,,,,,174,2668.4,3410.5,11427.5,4014.8
,,,,,,,,175,3005.2,3698.4,12699.2,4416.0
,,,,,,,,176,3238.5,4050.0,13819.3,4866.3
,,,,,,,,177,3341.9,4188.6,14081.6,5051.8
,,,,,,,,178,3230.7,4042.6,14039.5,4855.7
,,,,,,,,179,3161.5,3959.6,13187.3,4682.9
,,,,,,,,180,2960.9,3739.5,12577.7,4498.7
,,,,,,,,181,2947.4,3655.3,12291.8,4424.0
,,,,,,,,182,2877.5,3595.4,12234.9,4331.7
,,,,,,,,183,2993.9,3661.8,12492.3,4392.5
,,,,,,,,184,3050.8,3844.1,13277.0,4578.3
,,,,,,,,185,3265.3,4045.0,13868.7,4936.8
,,,,,,,,186,3369.6,4184.0,14422.6,5078.8
,,,,,,,,187,3411.3,4321.5,14681.9,5200.8
,,,,,,,,188,3425.7,4237.4,14480.1,5074.9
,,,,,,,,189,3261.8,4017.8,13625.9,4918.5
,,,,,,,,190,3078.4,3865.7,13079.5,4689.4
,,,,,,,,191,2989.3,3678.4,12642.9,4474.5
,,,,,,,,192,2912.4,3610.2,12277.6,4352.4
,,,,,,,,193,2628.5,3331.9,11230.6,3950.3
,,,,,,,,194,2541.4,3119.4,10890.1,3754.6
,,,,,,,,195,2386.2,3028.9,10142.1,3620.8
,,,,,,,,196,2354.6,2925.2,9831.9,3500.5
,,,,,,,,197,2437.3,3085.3,10315.4,3630.4
,,,,,,,,198,2704.2,3338.8,11454.2,4060.0
,,,,,,,,199,2943.6,3742.5,12810.2,4437.9
,,,,,,,,200,3174.8,4030.5,13698.5,4847.7
,,,,,,,,201,3356.2,4169.0,14075.1,4918.2
,,,,,,,,202,3274.3,4098.7,13845.6,4873.9
,,,,,,,,203,3186.9,3878.0,13449.6,4749.5
,,,,,,,,204,3008.0,3724.3,12924.3,4449.1
,,,,,,,,205,2911.9,3660.4,12587.4,4426.2
,,,,,,,,206,2940.1,3588.3,12336.0,4326.5
,,,,,,,,207,2971.5,3718.8,12703.9,4448.2
,,,,,,,,208,3098.3,3813.5,13154.1,4591.5
,,,,,,,,209,3214.3,4103.4,13995.8,4847.1
,,,,,,,,210,3389.8,4284.1,14498.2,5130.8
,,,,,,,,211,3490.8,4267.2,14727.9,5125.4
,,,,,,,,212,3385.4,4231.1,14476.8,5168.6
,,,,,,,,213,3227.0,4064.1,13984.9,4823.1
,,,,,,,,214,3066.5,3899.4,13024.2,4570.9
,,,,,,,,215,2920.7,3724.7,12697.1,4416.8
,,,,,,,,216,2872.2,3603.4,12177.8,4288.9
,,,,,,,,217,2680.7,3332.8,11195.8,3975.5
,,,,,,,,218,2528.0,3159.1,10807.0,3793.2
,,,,,,,,219,2409.8,2965.1,10142.0,3597.1
,,,,,,,,220,2334.8,2906.1,9864.9,3487.7
,,,,,,,,221,2427.8,3056.2,10570.5,3714.9
,,,,,,,,222,2660.5,3398.0,11309.2,4029.7
,,,,,,,,223,3008.6,3761.7,12574.3,4414.0
,,,,,,,,224,3171.1,3993.8,13846.7,4820.3
,,,,,,,,225,3358.3,4154.7,13931.8,4947.2
,,,,,,,,226,3290.7,4149.5,13770.4,4868.1
,,,,,,,,227,3153.8,3979.3,13512.0,4694.3
,,,,,,,,228,3029.4,3780.4,12724.7,4562.3
,,,,,,,,229,2899.8,3650.2,12450.4,4428.2
,,,,,,,,230,2893.7,3591.2,12254.9,4423.1
,,,,,,,,231,2956.5,3752.8,12780.0,4441.5
,,,,,,,,232,3125.1,3895.1,13283.3,4610.9
,,,,,,,,233,3265.0,4021.3,13843.8,4847.0
,,,,,,,,234,3357.2,4204.4,14333.4,5102.1
,,,,,,,,235,3482.2,4309.9,14767.8,5234.8
,,,,,,,,236,3380.3,4264.0,14370.7,5078.6
,,,,,,,,237,3215.5,4100.3,13933.9,4921.4
,,,,,,,,238,3048.8,3823.0,13164.0,4637.6
,,,,,,,,239,2979.6,3665.3,12453.5,4508.6
,,,,,,,,240,2878.4,3582.6,12217.3,4288.5
,,,,,,,,241,2659.5,3309.3,11510.9,4036.7
,,,,,,,,242,2513.6,3126.2,10597.3,3768.0
,,,,,,,,243,2415.4,2990.9,10273.8,3583.1
,,,,,,,,244,2313.9,2932.3,9917.1,3528.5
,,,,,,,,245,2434.9,3023.8,10408.8,3672.2
,,,,,,,,246,2693.6,3319.1,11530.7,4004.6
,,,,,,,,247,2982.1,3703.7,12556.2,4477.8
,,,,,,,,248,3212.4,4051.1,13653.6,4861.8
,,,,,,,,249,3290.2,4097.8,14316.7,4973.0
,,,,,,,,250,3248.1,4145.7,13788.3,4946.1
,,,,,,,,251,3109.4,3876.9,13547.1,4760.6
,,,,,,,,252,3036.2,3727.1,12846.3,4447.1
,,,,,,,,253,2932.1,3604.7,12572.1,4347.5
,,,,,,,,254,2949.7,3691.5,12553.2,4335.9
,,,,,,,,255,2935.6,3766.1,12727.3,4500.4
,,,,,,,,256,3098.0,3883.0,13184.0,4627.8
,,,,,,,,257,3221.4,4033.5,13882.2,4852.1
,,,,,,,,258,3421.4,4285.4,14610.4,5125.6
,,,,,,,,259,3509.1,4338.9,14521.6,5226.7
,,,,,,,,260,3396.8,4306.0,14607.1,5089.0
,,,,,,,,261,3232.0,4034.9,13720.7,4926.3
,,,,,,,,262,3058.9,3827.3,13001.3,4662.5
,,,,,,,,263,2941.6,3707.2,12582.4,4451.7
,,,,,,,,264,2924.1,3631.2,12248.8,4286.7
,,,,,,,,265,2698.5,3386.6,11513.0,4011.1
,,,,,,,,266,2530.0,3177.8,10780.0,3768.9
,,,,,,,,267,2393.9,2970.6,10260.1,3598.2
,,,,,,,,268,2357.4,2903.4,9920.4,3499.7
,,,,,,,,269,2448.6,3110.4,10487.6,3724.2
,,,,,,,,270,2724.3,3329.1,11322.6,3983.3
,,,,,,,,271,2940.5,3721.8,12799.7,4499.0
,,,,,,,,272,3255.4,3977.0,13543.4,4769.5
,,,,,,,,273,3315.6,4191.0,14178.9,4958.5
,,,,,,,,274,3282.8,4145.5,13885.9,4914.6
,,,,,,,,275,3145.4,3898.6,13493.5,4696.4
,,,,,,,,276,2999.1,3763.1,12620.1,4495.4
,,,,,,,,277,2939.1,3600.6,12319.6,4355.8
,,,,,,,,278,2952.3,3672.0,12217.7,4307.6
,,,,,,,,279,2948.8,3751.8,12641.0,4399.0
,,,,,,,,280,3091.4,3842.0,13257.7,4642.1
,,,,,,,,281,3292.1,4091.9,13658.7,4904.2
,,,,,,,,282,3447.5,4239.0,14532.4,5150.3
,,,,,,,,283,3423.2,4303.0,14609.1,5172.8
,,,,,,,,284,3356.3,4238.5,14435.8,5057.5
,,,,,,,,285,3286.4,4094.9,13645.3,4833.4
,,,,,,,,286,3088.6,3829.2,13089.4,4640.0
,,,,,,,,287,2932.9,3711.2,12551.4,4446.7
,,,,,,,,288,2879.0,3595.9,12279.5,4338.1
,,,,,,,,289,2547.4,3123.3,10658.5,3733.5
,,,,,,,,290,2394.3,2936.0,10061.0,3534.6
,,,,,,,,291,2240.9,2844.2,9582.1,3327.0
,,,,,,,,292,2230.2,2747.4,9251.0,3279.8
,,,,,,,,293,2323.6,2912.4,9792.1,3477.1
,,,,,,,,294,2513.7,3165.4,10722.6,3856.3
,,,,,,,,295,2843.3,3535.9,12034.9,4267.8
,,,,,,,,296,3022.9,3745.3,12768.7,4555.8
,,,,,,,,297,3107.6,3941.4,13441.0,4745.2
,,,,,,,,298,3095.0,3808.7,13274.7,4593.1
,,,,,,,,299,2997.1,3668.3,12652.4,4392.9
,,,,,,,,300,2826.8,3505.3,11998.5,4233.2
,,,,,,,,301,2764.8,3437.8,11525.8,4154.4
,,,,,,,,302,2747.7,3466.3,11777.7,4074.7
,,,,,,,,303,2804.7,3471.0,12002.5,4168.5
,,,,,,,,304,2915.1,3675.9,12331.5,4422.1
,,,,,,,,305,3052.7,3839.9,12864.8,4554.2
,,,,,,,,306,3186.4,3941.4,13638.9,4732.5
,,,,,,,,307,3243.1,4022.0,13918.0,4898.8
,,,,,,,,308,3154.7,4000.4,13408.5,4745.6
,,,,,,,,309,3058.9,3861.3,13029.9,4589.9
,,,,,,,,310,2897.1,3671.4,12219.6,4412.3
,,,,,,,,311,2800.9,3432.7,11760.8,4157.3
,,,,,,,,312,2715.4,3356.4,11644.9,4118.1
,,,,,,,,313,2509.5,3148.2,10740.9,3778.9
,,,,,,,,314,2382.9,2957.2,9989.1,3617.5
,,,,,,,,315,2248.5,2806.4,9666.9,3412.8
,,,,,,,,316,2221.9,2753.0,9518.2,3348.1
,,,,,,,,317,2300.9,2903.0,9705.7,3482.6
,,,,,,,,318,2540.2,3152.0,10645.8,3824.3
,,,,,,,,319,2813.4,3536.2,12080.1,4241.8
,,,,,,,,320,2999.7,3733.8,12996.5,4603.5
,,,,,,,,321,3094.2,3913.5,13442.2,4736.1
,,,,,,,,322,3124.5,3854.6,13092.4,4564.0
,,,,,,,,323,2935.2,3748.2,12633.7,4439.8
,,,,,,,,324,2801.2,3570.3,12092.7,4184.4
,,,,,,,,325,2726.1,3453.6,11717.8,4129.9
,,,,,,,,326,2776.0,3412.8,11649.6,4133.2
,,,,,,,,327,2816.1,3506.5,11979.7,4167.6
,,,,,,,,328,2946.7,3677.0,12331.1,4346.1
,,,,,,,,329,3075.2,3848.6,13131.0,4621.1
,,,,,,,,330,3248.3,3971.0,13556.6,4865.8
,,,,,,,,331,3257.5,4066.1,14038.2,4926.9
,,,,,,,,332,3216.5,3971.2,13440.0,4742.5
,,,,,,,,333,3026.7,3817.6,12902.7,4635.7
,,,,,,,,334,2946.8,3650.2,12222.5,4351.3
,,,,,,,,335,2800.0,3530.4,11761.8,4135.6
,,,,,,,,336,2685.4,3355.7,11454.3,4062.5
,,,,,,,,337,2674.7,3364.4,11486.7,3966.5
,,,,,,,,338,2510.9,3156.7,10605.0,3846.7
,,,,,,,,339,2391.6,3020.4,10070.9,3543.6
,,,,,,,,340,2351.9,2981.0,9865.8,3525.1
,,,,,,,,341,2422.2,3089.5,10520.4,3722.6
,,,,,,,,342,2681.0,3388.1,11365.9,4085.3
,,,,,,,,343,3027.5,3685.7,12774.9,4466.0
,,,,,,,,344,3237.6,4044.9,13894.8,4807.4
,,,,,,,,345,3323.3,4152.5,14297.6,4967.2
,,,,,,,,346,3315.2,4049.5,14074.8,4955.6
,,,,,,,,347,3106.7,3937.1,13225.6,4665.7
,,,,,,,,348,3012.5,3777.0,12837.9,4490.4
,,,,,,,,349,2899.3,3632.3,12558.7,4357.8
,,,,,,,,350,2911.9,3690.7,12509.6,4396.5
,,,,,,,,351,3010.4,3759.8,12465.0,4482.6
,,,,,,,,352,3098.4,3817.9,13031.2,4591.4
,,,,,,,,353,3294.0,4028.2,13841.3,4943.7
,,,,,,,,354,3421.1,4196.1,14483.1,5074.2
,,,,,,,,355,3489.4,4335.4,14921.8,5187.8
,,,,,,,,356,3413.2,4221.3,14522.3,5035.9
,,,,,,,,357,3250.5,4018.5,13801.8,4823.2
,,,,,,,,358,3104.7,3901.2,13245.5,4642.7
,,,,,,,,359,2927.5,3740.8,12781.1,4464.0
,,,,,,,,360,2874.6,3637.9,12140.0,4380.1
,,,,,,,,361,2654.5,3362.9,11296.0,4024.1
,,,,,,,,362,2503.4,3163.2,10652.9,3851.5
,,,,,,,,363,2399.8,3020.0,10216.4,3638.2
,,,,,,,,364,2384.6,2956.7,9962.1,3563.8
,,,,,,,,365,2467.6,3096.5,10462.0,3702.1
,,,,,,,,366,2701.6,3327.3,11557.7,4057.7
,,,,,,,,367,2942.5,3706.4,12671.4,4449.7
,,,,,,,,368,3189.9,4007.7,13695.3,4824.0
,,,,,,,,369,3290.2,4160.5,14176.0,4926.5
,,,,,,,,370,3249.6,4109.8,13921.7,4876.3
,,,,,,,,371,3126.1,3945.4,13200.7,4711.8
,,,,,,,,372,3038.3,3764.7,12842.4,4500.5
,,,,,,,,373,2938.8,3615.4,12482.7,4421.6
,,,,,,,,374,2934.0,3659.9,12285.1,4332.4
,,,,,,,,375,2974.1,3692.3,12557.7,4435.1
,,,,,,,,376,3067.5,3856.7,13202.5,4654.2
,,,,,,,,377,3214.0,4051.5,13989.3,4938.1
,,,,,,,,378,3447.4,4247.8,14380.1,5102.2
,,,,,,,,379,3447.7,4325.5,14723.1,5205.5
,,,,,,,,380,3446.0,4284.2,14397.4,5134.4
,,,,,,,,381,3276.8,4056.4,13746.7,4950.9
,,,,,,,,382,3113.6,3888.2,13032.3,4595.2
,,,,,,,,383,2922.0,3680.0,12611.4,4509.2
,,,,,,,,384,2871.3,3608.9,12360.2,4389.1
,,,,,,,,385,2643.2,3385.0,11327.6,4037.1
,,,,,,,,386,2500.0,3181.0,10709.5,3758.0
,,,,,,,,387,2377.5,3024.8,10183.0,3609.0
,,,,,,,,388,2364.0,2939.4,10085.5,3484.3
,,,,,,,,389,2446.2,3072.7,10374.7,3701.9
,,,,,,,,390,2700.4,3341.0,11490.8,4032.3
,,,,,,,,391,3014.7,3720.6,12829.2,4487.3
,,,,,,,,392,3254.1,4013.1,13591.4,4834.7
,,,,,,,,393,3365.9,4171.1,14052.7,5065.6
,,,,,,,,394,3334.2,4117.9,13802.6,4970.1
,,,,,,,,395,3166.5,3880.0,13442.4,4712.9
,,,,,,,,396,2985.9,3795.6,12610.3,4538.5
,,,,,,,,397,2965.2,3648.7,12379.3,4417.3
,,,,,,,,398,2917.1,3656.0,12263.1,4397.9
,,,,,,,,399,2933.9,3754.4,12614.2,4491.2
,,,,,,,,400,3124.9,3861.7,13066.7,4634.3
,,,,,,,,401,3270.6,4126.1,14024.2,4837.3
,,,,,,,,402,3360.6,4243.4,14521.7,5045.8
,,,,,,,,403,3511.2,4347.7,14798.5,5126.6
,,,,,,,,404,3433.4,4249.1,14593.2,5135.7
,,,,,,,,405,3239.2,4094.9,13882.7,4858.7
,,,,,,,,406,3136.2,3883.0,13282.8,4674.4
,,,,,,,,407,2949.9,3680.8,12507.7,4480.3
,,,,,,,,408,2918.1,3654.4,12157.6,4307.8
,,,,,,,,409,2689.1,3387.0,11493.1,4026.9
,,,,,,,,410,2511.6,3210.1,10752.6,3803.6
,,,,,,,,411,2381.5,2966.7,10112.5,3573.2
,,,,,,,,412,2351.7,2977.2,10082.1,3483.6
,,,,,,,,413,2427.5,3045.1,10415.5,3734.1
,,,,,,,,414,2686.8,3401.8,11384.9,4071.0
,,,,,,,,415,3013.3,3770.0,12751.1,4435.6
,,,,,,,,416,3187.9,4041.9,13752.8,4821.3
,,,,,,,,417,3334.2,4135.8,14036.4,4919.2
,,,,,,,,418,3325.5,4061.8,14016.5,4967.5
,,,,,,,,419,3152.2,3925.3,13438.4,4773.4
,,,,,,,,420,3008.0,3763.7,12866.3,4565.9
,,,,,,,,421,2889.7,3644.7,12503.7,4424.4
,,,,,,,,422,2879.7,3690.6,12386.6,4430.1
,,,,,,,,423,2931.6,3679.3,12795.2,4391.9
,,,,,,,,424,3108.2,3811.6,13088.9,4601.2
,,,,,,,,425,3247.9,4095.5,13815.5,4873.4
,,,,,,,,426,3454.6,4317.4,14637.3,5063.9
,,,,,,,,427,3435.1,4322.3,14781.9,5158.3
,,,,,,,,428,3448.3,4291.1,14284.8,5058.0
,,,,,,,,429,3215.1,4079.7,14044.6,4907.9
,,,,,,,,430,3108.7,3914.0,13105.8,4619.2
,,,,,,,,431,2973.3,3735.6,12536.3,4461.2
,,,,,,,,432,2875.7,3631.6,12412.9,4380.4
,,,,,,,,433,2634.4,3295.8,11481.1,3992.5
,,,,,,,,434,2536.2,3120.1,10662.8,3822.2
,,,,,,,,435,2374.8,2975.8,10311.0,3562.1
,,,,,,,,436,2350.6,2925.3,10126.3,3521.0
,,,,,,,,437,2422.6,3114.7,10456.0,3645.9
,,,,,,,,438,2693.7,3409.2,11317.7,4050.9
,,,,,,,,439,2966.3,3771.4,12836.8,4505.9
,,,,,,,,440,3232.4,4004.7,13889.9,4839.8
,,,,,,,,441,3289.0,4198.5,14249.3,5001.1
,,,,,,,,442,3326.7,4082.8,14058.8,4883.8
,,,,,,,,443,3165.6,3967.3,13370.0,4699.5
,,,,,,,,444,2990.9,3816.5,12919.6,4531.6
,,,,,,,,445,2885.8,3643.5,12460.2,4335.5
,,,,,,,,446,2889.9,3615.2,12308.6,4384.5
,,,,,,,,447,2974.5,3680.7,12623.0,4507.9
,,,,,,,,448,3117.4,3883.6,13002.1,4593.3
,,,,,,,,449,3232.8,4044.9,13802.8,4852.1
,,,,,,,,450,3368.6,4219.1,14353.6,5038.3
,,,,,,,,451,3420.7,4297.4,14817.8,5210.5
,,,,,,,,452,3399.1,4212.3,14434.2,5135.8
,,,,,,,,453,3221.9,4058.1,13779.2,4813.5
,,,,,,,,454,3121.7,3835.8,12948.0,4694.8
,,,,,,,,455,3001.3,3717.8,12636.5,4483.1
,,,,,,,,456,2883.3,3648.5,12239.2,4288.7
